Address,Distance from Wsu,Bed And Bath,Sqft,Rent
"2605 N Pershing St Wichita, KS 67220",0.7,4 bed 2 bath,2200,1475
1329 N Wellington Pl,2.7,4 bed 2 bath,1617,1025
"1805 N Madison Ave, Wichita, KS 67214",0.6,4 bed 2 bath,1200,1350
"7329 E 34th St N, Wichita, KS 67226",3.2,4 bed 2.5 bath,1650,1650
1406 Woodrow Ave,3.8,4 bed 1.5 bath,1748,1595
839 N Ridgewood Dr,1.5,3 bed 2 bath,1000,1150
"2363 N Garland St, Wichita, KS 67204",3.1,3 bed 2 bath,1056,1095
7204 Bainbridge Rd,1.7,3 bed 2 bath,null,1800
806 Faulkner N,4.2,3 bed 2 bath,1656,1295
"6331 Quail Ridge Street, Bel Aire, KS 67220",3.4,3 bed 3 bath,1800,1425
"736 S Hunter, Wichita, KS 67207",3.9,1 bed 1 bath,715,585
"2008 N Hydraulic Ave, Wichita, KS 6721",1.1,2 bed 1 bath,698,550
"2310 N Green Ave, Wichita, KS 67219",0.6,4bed 1 bath,1100,1200
"740 S Hunter, Wichita, KS 67207",3.8,2bed 1 bath,715,650
"527 S Glendale, Wichita, KS 67218",2.6,1bed 1 bath,500,600
"2803 E 13th St N, Wichita, KS 67214",0.7,2 bed 1 bath,850,695
"7700 E 13th St N unit 14, Wichita, KS 67206",2.3,2bed 1 bath,700,850
"1329 Williamsburg St, Wichita, KS 67208",0.8,3 bed 2 bath,1544,1130
"1537 S Battin St, Wichita, KS 67218",3.5,2bed 1 bath,620,535
"1152 N Crestway St, Wichita, KS 67208",1,2bed 1 bath,800,850
"1337 St Francis, Wichita, KS 67214",2.3,3bed 1 bath,1275,1075
"3338 Victor Pl, Wichita, KS 67208",2.2,3bed 2 bath,1555,1550
"5123 E Lincoln St, Wichita, KS 67218",3.3,2 bed 1 bath,618,514
"1432 N Minneapolis Ave, Wichita, KS 67214",1.3,3bed 1 bath,1200,900
"959 S Bleckley Dr, Wichita, KS 67218",3.3,2 bed 1.5 bath,1040,875
"7329 E 34th St N, Wichita, KS 67226",3.2,4 bed 2 bath,1650,1650
"1557 N Pinecrest St, Wichita, KS 67208",0.5,3bed 1 bath,1066,900
"5331 E Elm St, Wichita, KS 67208",1.8,2bed 1 bath,1180,950
"318 S Poplar St, Wichita, KS 67211",2.8,4 bed 2 bath,1795,1795
"1805 N Madison Ave, Wichita, KS 67214",0.6,4bed 2 bath,1200,1350
"7204 Bainbridge Rd, Wichita, KS 67226",1.7,3bed 2 bath,,1800
"5916 E Rockwood Rd, Wichita, KS 67208",2.5,3bed 1 bath,1044,1200
"843 Chautauqua, Wichita, KS 67211",3.2,3bed 1 bath,1223,1050
"2555 N Somerset St, Wichita, KS 67204",3.5,2 bed 1 bath,825,1200
"1406 N Woodrow Ave, Wichita, KS 67203",3.9,4bed 1 bath,1748,1595
"2901 N Governeour St, Wichita, KS 67226",2.5,3 bed 2 bath,1508,1235
"1535 N Holyoke St, Wichita, KS 67208",0.4,4bed 1 bath,2480,1200
